보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
당곡로 10 ,1,,충청북도 영동군 영동읍 당곡로 4길 9-10옆 ,,36.1189178137,127.82525773,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡로 10-L1 ,1,,충청북도 영동군 영동읍 당곡로 387 ,,36.1187417501,127.824651653,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡로 10-L1 ,1,,충청북도 영동군 영동읍 당곡로  ,,36.119723726,127.8249596,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교1길 01 ,1,,충청북도 영동군 영동읍 구교1길 7앞 ,,36.1792523945,127.779759448,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교1길 02 ,1,,충청북도 영동군 영동읍 구교1길 10앞 ,,36.1794114101,127.780250121,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교1길 03 ,1,,충청북도 영동군 영동읍 구교1길 10옆 ,,36.1794114101,127.780250121,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교1길 03-R1 ,1,,충청북도 영동군 영동읍 구교1길 14앞 ,,36.179612624,127.780349937,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교1길 04 ,1,,충청북도 영동군 영동읍 구교1길 17앞 ,,36.1798378518,127.780636738,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교1길 05 ,1,,충청북도 영동군 영동읍 구교1길 20 ,,36.1795158923,127.780811398,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교1길 05-R1 ,1,,충청북도 영동군 영동읍 구교1길 22-1 ,,36.1798641938,127.781019387,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교1길 06 ,1,,충청북도 영동군 영동읍 구교1길  ,,36.1796882024,127.780368472,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교1길 06-L1 ,1,,충청북도 영동군 영동읍 구교1길 22-2 ,,36.1798667539,127.781179482,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교1길 06-R1 ,1,,충청북도 영동군 영동읍 구교2길 7건너 ,,36.1806042649,127.780297522,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교2길 01 ,1,,충청북도 영동군 영동읍 구교2길 9건너 ,,36.1807580986,127.780476904,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교2길 02 ,1,,충청북도 영동군 영동읍 구교2길 13앞 ,,36.1810392489,127.780479693,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교2길 03 ,1,,충청북도 영동군 영동읍 구교2길 21앞 ,,36.1814313348,127.781159444,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교2길 04 ,1,,충청북도 영동군 영동읍 구교2길 13-23뒤 ,,36.1816531881,127.781410649,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교2길 05 ,1,,충청북도 영동군 영동읍 구교3길 4앞 ,,36.1810866753,127.779839877,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교3길 01 ,1,,충청북도 영동군 영동읍 구교3길 9앞 ,,36.1817724264,127.779708833,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교3길 02 ,1,,충청북도 영동군 영동읍 구교3길 15앞 ,,36.1821746232,127.779944037,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교3길 03 ,1,,충청북도 영동군 영동읍 구교로 6앞 ,,36.1748237563,127.78172964,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 01 ,1,,충청북도 영동군 영동읍 구교로 8-1앞 ,,36.1750451107,127.781505088,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 02 ,1,,충청북도 영동군 영동읍 구교로 7앞 ,,36.1747763986,127.781253439,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 03 ,1,,충청북도 영동군 영동읍 구교로 15옆 ,,36.1753719725,127.780579096,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 04 ,1,,충청북도 영동군 영동읍 구교로 15앞 ,,36.1753719725,127.780579096,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 05 ,1,,충청북도 영동군 영동읍 구교로 20길건너 ,,36.1758648025,127.780735154,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 06 ,1,,충청북도 영동군 영동읍 구교로 22-10앞 ,,36.1762257447,127.78066315,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 06-R1 ,1,,충청북도 영동군 영동읍 구교로 22-18앞 ,,36.176593519,127.780649014,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 06-R2 ,1,,충청북도 영동군 영동읍 구교로 22길건너 ,,36.1759814218,127.78054068,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 07 ,1,,충청북도 영동군 영동읍 구교로 27 ,,36.1761047162,127.77987498,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 08 ,1,,충청북도 영동군 영동읍 구교로 28앞 ,,36.176430031,127.780291698,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 09 ,1,,충청북도 영동군 영동읍 구교로 32-5앞 ,,36.1766923356,127.779867465,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 10 ,1,,충청북도 영동군 영동읍 구교로 32-7 ,,36.1769941283,127.780021627,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 10-R1 ,1,,충청북도 영동군 영동읍 구교로 32-7 ,,36.1769941283,127.780021627,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 10-R1 ,1,,충청북도 영동군 영동읍 구교로 32-1 8앞 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 10-R2 ,1,,충청북도 영동군 영동읍 구교로 32-27앞 ,,36.1772916018,127.780838234,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 10-R3 ,1,,충청북도 영동군 영동읍 구교로 32-48옆 ,,36.1781433139,127.781237958,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 10-R4 ,1,,충청북도 영동군 영동읍 구교로 35앞_세인트빌 옆 ,,36.1767288291,127.77924536,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 11 ,1,,충청북도 영동군 영동읍 구교로 40앞 ,,36.1772332557,127.779281478,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 12 ,1,,충청북도 영동군 영동읍 구교로 40-1앞 ,,36.1773650879,127.779518434,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 13 ,1,,충청북도 영동군 영동읍 구교로 41옆 ,,36.1772215285,127.778867864,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 14 ,1,,충청북도 영동군 영동읍 구교로 46앞 ,,36.177614158,127.778911766,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 15 ,1,,충청북도 영동군 영동읍 구교로 45앞 ,,36.1774975233,127.778554913,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 16 ,1,,충청북도 영동군 영동읍 구교로 50앞 ,,36.1778648058,127.778616348,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 17 ,1,,충청북도 영동군 영동읍 구교로 52앞 ,,36.1780027018,127.778475432,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교로 18 ,1,,충청북도 영동군 황간면 구교리길 52-1 ,,36.2294922073,127.917830226,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교리길 01 ,1,,충청북도 영동군 황간면 황간면 남성리136인근 ,,36.2290958672,127.917807798,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교리길 01-L1 ,1,,충청북도 영동군 황간면 구교리길 52-7 건너 ,,36.2297560606,127.918207038,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교리길 01-R1 ,1,,충청북도 영동군 황간면 구교리길 ,,36.2292035194,127.917871344,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교리길 01-R2 ,1,,충청북도 영동군 황간면 구교리길 52-54 ,,36.2298873284,127.920357512,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교리길 01-R3 ,1,,충청북도 영동군 황간면 구교리길 48-9 ,,36.2289410035,127.918259796,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교리길 02 ,1,,충청북도 영동군 황간면 구교리길 38-6 앞 ,,36.2285444244,127.918268507,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡로 11 ,1,,충청북도 영동군 영동읍 당곡로 390옆 ,,36.1186038045,127.824268121,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡로 12 ,1,,충청북도 영동군 영동읍 당곡로  ,,36.119723726,127.8249596,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡로 13 ,1,,충청북도 영동군 영동읍 당곡로  ,,36.119723726,127.8249596,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡로 14 ,1,,충청북도 영동군 영동읍 당곡로1길 16 ,,36.1478062157,127.823160215,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡로1길 01 ,1,,충청북도 영동군 영동읍 당곡로1길 14-8옆 ,,36.1478385635,127.822649431,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡로1길 01-R1 ,1,,충청북도 영동군 영동읍 당곡로1길 20 ,,36.1473890438,127.823018076,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡로1길 02 ,1,,충청북도 영동군 영동읍 당곡로1길 24앞 ,,36.1470208377,127.82309423,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡로1길 03 ,1,,충청북도 영동군 영동읍 당곡로1길 다리건너 옆 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡로1길 03-L1 ,1,,충청북도 영동군 영동읍 당곡로2길 4 ,,36.1422524789,127.826133153,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡로2길 01 ,1,,충청북도 영동군 영동읍 당곡로2길 9 ,,36.1419681354,127.82554798,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡로2길 02 ,1,,충청북도 영동군 영동읍 영동읍 당곡로2길7-1 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡로2길03 ,1,,충청북도 영동군 영동읍 당곡로3길 9 ,,36.1407394163,127.824952923,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡로3길 01 ,1,,충청북도 영동군 영동읍 당곡로3길 15앞 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡로3길 02 ,1,,충청북도 영동군 영동읍 당곡로3길 20 ,,36.1401072063,127.824106368,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡로3길 03 ,1,,충청북도 영동군 영동읍 당곡로3길 30앞 ,,36.1394073902,127.823654642,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡로3길 04 ,1,,충청북도 영동군 영동읍 당곡로3길 33앞 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡로3길 05 ,1,,충청북도 영동군 영동읍 당곡로3길 44-12 ,,36.1388408754,127.822688808,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡로3길 05-R1 ,1,,충청북도 영동군 학산면  당곡리길 14 앞 ,,36.0922300009,127.677194313,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡리길 01 ,1,,충청북도 영동군 학산면  당곡리길 26 앞 ,,36.0923951747,127.676032065,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡리길 02 ,1,,충청북도 영동군 학산면  당곡리길 28 ,,36.0924537256,127.675877115,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡리길 03 ,1,,충청북도 영동군 학산면  당곡리길 33 ,,36.0922064333,127.674982265,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡리길 04 ,1,,충청북도 영동군 학산면  당곡리길 43 ,,36.0921658036,127.674515565,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡리길 05 ,1,,충청북도 영동군 학산면 학산리 328 - 4 ,,36.0922506346,127.674174298,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡리길 05-L1 ,1,,충청북도 영동군 학산면 학산리 333 ,,36.0923812167,127.673389273,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡리길 05-R1 ,1,,충청북도 영동군 학산면  당곡리길 50 ,,36.0918927306,127.674997349,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡리길 06 ,1,,충청북도 영동군 학산면  당곡리길 31-9 ,,36.0921272322,127.675603391,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡리길 07 ,1,,충청북도 영동군 학산면  학산리282 ,,36.0916429097,127.6758302,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당곡리길08 ,1,,충청북도 영동군 심천면 당재길 20-5 입구 ,,36.2593993001,127.710925665,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당재길 01 ,1,,충청북도 영동군 심천면 당재길 22-8 ,,36.2591491536,127.710558426,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당재길 02 ,1,,충청북도 영동군 심천면 당재길 29 뒤 ,,36.2584266404,127.710823383,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당재길 03 ,1,,충청북도 영동군 심천면 당재길 29 ,,36.2584266404,127.710823383,한전주,043-740-3503,충청북도 영동군청,2016-09-23
당재길 03-L1 ,1,,충청북도 영동군 영동읍 대학로 3앞 ,,36.1783290719,127.778176314,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 01 ,1,,충청북도 영동군 영동읍 대학로 5앞 ,,36.1784831113,127.778324565,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 02 ,1,,충청북도 영동군 영동읍 대학로 9앞 ,,36.1788413923,127.778661582,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 03 ,1,,충청북도 영동군 영동읍 대학로 11앞 ,,36.178995084,127.778863188,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 04 ,1,,충청북도 영동군 영동읍 대학로 15-1앞 ,,36.1793217332,127.779075399,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 05 ,1,,충청북도 영동군 영동읍 대학로길 21앞 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 06 ,1,,충청북도 영동군 영동읍 대학로 22앞 ,,36.1795445611,127.779731219,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 07 ,1,,충청북도 영동군 영동읍 대학로 24-8 ,,36.1796012193,127.779887403,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 07-R1 ,1,,충청북도 영동군 영동읍 대학로길 25앞 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 08 ,1,,충청북도 영동군 영동읍 대학로길 27앞 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 09 ,1,,충청북도 영동군 영동읍 대학로길 31앞 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 10 ,1,,충청북도 영동군 영동읍 대학로 32-7앞 ,,36.1807034695,127.780009489,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 10-R1 ,1,,충청북도 영동군 영동읍 대학로 32-11앞 ,,36.1808285837,127.7801708,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 10-R2 ,1,,충청북도 영동군 영동읍 대학로길 35-1앞 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 11 ,1,,충청북도 영동군 영동읍 대학로길 37옆 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 12 ,1,,충청북도 영동군 영동읍 대학로길  ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 13 ,1,,충청북도 영동군 영동읍 대학로길 47앞 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 14 ,1,,충청북도 영동군 영동읍 대학로길 51옆 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교리길 04 ,1,,충청북도 영동군 황간면 구교리길 ,,36.2292035194,127.917871344,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교리길 05 ,1,,충청북도 영동군 황간면 구교리길 72 ,,36.2298003105,127.916196541,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교리길 06 ,1,,충청북도 영동군 황간면 구교리길 76 ,,36.2296303337,127.915798585,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교리길 07 ,1,,충청북도 영동군 황간면 구교리길 84 ,,36.2287349943,127.915979455,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교리길 08 ,1,,충청북도 영동군 황간면 구교리길 85-1 ,,36.2287877235,127.916625188,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교리길 09 ,1,,충청북도 영동군 황간면 황간면 남성리 구교리길201 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교리길03-R1 ,1,,충청북도 영동군 용산면 용산로3길 ,,36.2598458057,127.828620442,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구룡로 01 ,1,,충청북도 영동군 용산면 구촌2길 5 ,,36.2595871036,127.83005979,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구룡로 02 ,1,,충청북도 영동군 용산면 구룡로 15 ,,36.259989704,127.830740585,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구룡로 03 ,1,,충청북도 영동군 용산면 구룡로 18 ,,36.2597249444,127.830973678,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구룡로 04 ,1,,충청북도 영동군 용산면 구룡로 24 ,,36.2597573077,127.831503675,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구룡로 05 ,1,,충청북도 영동군 용산면 구룡로 22-8 ,,36.2595250326,127.831211907,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구룡로 05-R1 ,1,,충청북도 영동군 용산면 구룡길 31 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구룡로 06 ,1,,충청북도 영동군 용산면 구룡길 31 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구룡로 07 ,1,,충청북도 영동군 용산면 구룡로53 ,,36.2606492927,127.834891383,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구룡로 07-L1 ,1,,충청북도 영동군 용산면 구촌리 구룡로 55  ,,36.2602888529,127.835403852,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구룡로 07-L2  ,1,,충청북도 영동군 용산면 구룡길(용마로지스 앞) ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구룡로 08 ,1,,충청북도 영동군 용산면 구룡길 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구룡로 09 ,1,,충청북도 영동군 용산면 용산공단길 4 ,,36.2604858648,127.840212938,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구룡로 10 ,1,,충청북도 영동군 황간면 구룡로 324 앞 도로 ,,36.2547310529,127.859738333,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구룡로 11 ,1,,충청북도 영동군 영동읍 구수동길 5 ,,36.203469518,127.785176712,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구수동길 01 ,1,,충청북도 영동군 영동읍 구수동길 12 ,,36.2036680996,127.785676839,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구수동길 02 ,1,,충청북도 영동군 영동읍 구수로 ,,36.2013981237,127.78442662,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구수로 01 ,1,,충청북도 영동군 영동읍 구수로 25 ,,36.1917935772,127.786865627,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구수로 02 ,1,,충청북도 영동군 영동읍 구수로길 49 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구수로 03 ,1,,충청북도 영동군 영동읍 구수로 49 ,,36.1937640571,127.787063228,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구수로 04 ,1,,충청북도 영동군 영동읍 구수로 61 ,,36.194828255,127.786940463,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구수로 05 ,1,,충청북도 영동군 영동읍 구수로102 ,,36.1983917757,127.786077749,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구수로 05-L1 ,1,,충청북도 영동군 영동읍 구수로 ,,36.2013981237,127.78442662,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구수로 06 ,1,,충청북도 영동군 영동읍 구수로 ,,36.2013981237,127.78442662,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구수로 07 ,1,,충청북도 영동군 영동읍 구수로 168 ,,36.2036956952,127.78531685,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구수로 08 ,1,,충청북도 영동군 영동읍 설계리 430 ,,36.2034429576,127.784829526,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구수로 08-L1 ,1,,충청북도 영동군 영동읍 구수동길 17-1 ,,36.2037522714,127.784934911,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구수로 09 ,1,,충청북도 영동군 영동읍 구수로 177 ,,36.2047037647,127.784957755,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구수로 11 ,1,,충청북도 영동군 영동읍 구수로길 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구수로 12 ,1,,충청북도 영동군 심천면 구정길 1→172입구 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구정길 01 ,1,,충청북도 영동군 심천면 구정길 5 ,,36.1893510247,127.7141964,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구정길 01-L1 ,1,,충청북도 영동군 심천면 구정길 7 ,,36.1889748523,127.714410883,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구정길 02 ,1,,충청북도 영동군 심천면 구정길 13-8 ,,36.1890093772,127.715269449,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구교리길 03 ,1,,충청북도 영동군 황간면 구교리길 58 ,,36.2297970528,127.917562391,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구정길 02-L1 ,1,,충청북도 영동군 심천면 구정길 14 ,,36.1885982813,127.714692063,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구정길 02-R1 ,1,,충청북도 영동군 심천면 구정길 19 ,,36.1889572925,127.715540236,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구정길 03 ,1,,충청북도 영동군 심천면 구정길 22 ,,36.1886645273,127.71567098,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구정길 04 ,1,,충청북도 영동군 심천면 구정길 31-2 ,,36.1893501335,127.716757821,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구정길 04-L1 ,1,,충청북도 영동군 심천면 구정길 31-2 ,,36.1893501335,127.716757821,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구정길 04-L2 ,1,,충청북도 영동군 용산면 용산로5길 3 ,,36.2616029641,127.828897159,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구촌1길 01 ,1,,충청북도 영동군 용산면 구촌1길 26 ,,36.2620446084,127.829146632,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구촌1길 02 ,1,,충청북도 영동군 용산면 구촌2길 7-8 ,,36.2596246823,127.830358396,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구촌2길 01 ,1,,충청북도 영동군 용산면 구촌3길 11 ,,36.2603537792,127.83073999,한전주,043-740-3503,충청북도 영동군청,2016-09-23
구촌3길 01 ,1,,충청북도 영동군 용산면 구촌3길 13 ,,36.260432674,127.830798687,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 16 ,1,,충청북도 영동군 영동읍 대학로길  ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 17 ,1,,충청북도 영동군 영동읍 대학로 ,,36.1886935642,127.789596117,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 18 ,1,,충청북도 영동군 영동읍 대학로 79옆 ,,36.1844391267,127.77927726,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 19 ,1,,충청북도 영동군 영동읍 대학로 79 ,,36.1844391267,127.77927726,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 20 ,1,,충청북도 영동군 영동읍 대학로길99건너 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 21 ,1,,충청북도 영동군 영동읍 대학로108-1 ,,36.1867799935,127.781826209,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 22 ,1,,충청북도 영동군 영동읍 대학로 108 건너 ,,36.186681797,127.781407238,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 23 ,1,,충청북도 영동군 영동읍 대학로길 프린스발라앞 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 24 ,1,,충청북도 영동군 영동읍 대학로 129 ,,36.188729208,127.782521508,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 25 ,1,,충청북도 영동군 영동읍 대학로 144 건너 ,,36.1885736211,127.784263129,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 26 ,1,,충청북도 영동군 영동읍 대학로길_GS충전소 지나 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 27 ,1,,충청북도 영동군 영동읍 대학로길 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 28 ,1,,충청북도 영동군 영동읍 대학로 177 ,,36.1901768118,127.787147397,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 29 ,1,,충청북도 영동군 영동읍 대학로길 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 30 ,1,,충청북도 영동군 영동읍 대학로 196 건너 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 31 ,1,,충청북도 영동군 영동읍 대학로 192옆 ,,36.1888162645,127.788481183,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 32 ,1,,충청북도 영동군 영동읍 대학로 200 ,,36.1885580897,127.789367967,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 33 ,1,,충청북도 영동군 영동읍 대학로길  ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 34 ,1,,충청북도 영동군 영동읍 대학로223 ,,36.1901007765,127.791571346,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 35 ,1,,충청북도 영동군 영동읍 대학로길 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 36 ,1,,충청북도 영동군 영동읍 남부로 ,,36.2394314358,127.808768278,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로 37 ,1,,충청북도 영동군 영동읍 계산리 314-1 ,,36.1823400531,127.780003482,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로15 ,1,,충청북도 영동군 영동읍 계산리316-1 ,,36.1825595214,127.780067909,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대학로18 ,1,,충청북도 영동군 상촌면 대해길 187건너  ,,36.0933688919,127.900619735,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대해1길 01 ,1,,충청북도 영동군 상촌면 대해1길 12 건너 ,,36.0948135993,127.901204736,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대해1길 02 ,1,,충청북도 영동군 상촌면 대해1길 30 건너 ,,36.0955738001,127.901257832,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대해1길 03 ,1,,충청북도 영동군 상촌면 대해1길 35-1 ,,36.0959050691,127.901785723,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대해1길 04 ,1,,충청북도 영동군 상촌면 대해1길 39 ,,36.0957185018,127.902147801,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대해1길 05 ,1,,충청북도 영동군 상촌면 대해1길 48 건너 ,,36.0950418315,127.902490948,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대해1길 06 ,1,,충청북도 영동군 상촌면 대해1길 48 건너 ,,36.0950418315,127.902490948,한전주,043-740-3503,충청북도 영동군청,2016-09-23
대해1길 07 ,1,,충청북도 영동군 상촌면 대해1안길2-4건너 대해 보건소내 ,,36.0935613278,127.900915068,한전주,043-740-3503,충청북도 영동군청,2016-09-23
